id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
22,hotpot2,0,-0.0173999834,0.47,-0.6573999942,0.9420000094,-0.3763999906,0.7760000048,SIDE,0.4865525495,0.6431051733,0.336078814,0.4865525495,-168.4306519082,48.8394951512,124.0535241416,0.010937787,0.00010667,22
23,hotpot2,0,-0.0453999847,0.47,-0.5073999903,0.47,-0.3383999888,0.47,SIDE,0.4865525495,0.6431051733,0.336078814,0.4865525495,-216.0730984537,63.7779409376,126.7068474619,0.003894605,0.00002735,23
24,hotpot2,0,-0.2263999868,0.9472,-0.6783999952,0.9472,-0.5113999905,0.9472,SIDE,0.4865525495,0.6431051733,0.336078814,0.4865525495,-216.0730984537,63.7779409376,126.7068474619,0.005599731,0.000018983,24
25,hotpot2,0,0.480600024,0.47,-0.1953999853,0.47,-0.8573999972,0.47,SIDE,-0.4969053669,-0.3877043909,0.5965361832,-0.4969053669,37.4571102127,249.2271103442,118.4196761006,0.001936992,0.000019654,25
26,hotpot2,0,-0.5683999932,0.47,-0.4143999892,0.47,-0.4233999896,0.47,SIDE,0.5051797864,-0.3402492543,0.6114059303,-0.5051797864,-223.6543535415,60.2771050763,61.5899537548,0.008137205,0.000032338,26
27,hotpot2,0,-0.7513999954,0.9472,-0.5553999926,0.9472,-0.5713999934,0.9472,SIDE,0.5051797864,-0.3402492543,0.6114059303,-0.5051797864,-175.5786572449,46.5788179088,62.6312770804,0.007058773,0.000034452,27
28,hotpot2,0,-0.742399995,0.9472,-0.5883999909,0.9472,-0.5973999913,0.9472,SIDE,0.5051797864,-0.3402492543,0.6114059303,-0.5051797864,-223.6543535415,60.2771050763,61.5899537548,0.008876495,0.00004083,28
29,hotpot2,0,-0.6603999943,0.6740000032,-0.4333999901,0.5740000017,-0.4423999905,0.5500000038,SIDE,0.5051797864,-0.3402492543,0.6114059303,-0.5051797864,-175.5786572449,46.5788179088,62.6312770804,0.017298078,0.000184801,29
30,hotpot2,0,-0.184399988,0.9472,-0.6463999937,0.9472,-0.522399991,0.9472,TOP,0.0435063432,0.8516835637,0.5222473604,-5.2957239400764178e-17,-13.4888045886,18.04564512,331.1028084746,0.005724796,0.00001626,30
31,hotpot2,0,-0.5743999935,0.47,-0.410399989,0.47,-0.3883999879,0.47,SIDE,0.4865525495,-0.336078814,0.6431051733,-0.4865525495,-217.7882266363,64.3157250195,126.8023671074,0.012824694,0.000062301,31
