id;object;sdh_knuckle_joint;sdh_finger_12_joint;sdh_finger_13_joint;sdh_finger_22_joint;sdh_finger_23_joint;sdh_thumb_2_joint;sdh_thumb_3_joint;direction;qw;qx;qy;qz;pos-x;pos-y;pos-z;eps_l1;vol_l1;
52;yellowsaltcube;0;1.0326000307;1.5707963268;-0.183399988;0.9472;-0.5873999909;1.1632000037;SIDE;-0.4835773952;0.5586901621;0.4692239427;-0.4835773952;165.7849551017;7.4865864339;18.2502965127;0.007889142;0.000010849;52
53;yellowsaltcube;0;-0.7573999957;0.9472;-0.8993999959;0.9472;-0.7143999936;0.9472;SIDE;-0.4865128012;-0.3277946026;0.6474266654;-0.4865128012;70.1997356452;187.6931346652;81.3765016611;0.007204549;0.000037514;53
54;yellowsaltcube;0;1.0326000307;1.5707963268;-0.9854;1.5707963268;0.0146000182;1.3632000067;SIDE;-0.4924930203;0.6498614926;0.3042717376;-0.4924930203;130.5395999653;-66.3388417527;12.863189674;0.002883395;0.000003774;54
55;yellowsaltcube;0;0.2756000208;0.9472;-0.9854;1.5707963268;-0.2073999859;1.5707963268;SIDE;0.4991784402;0.5923182146;0.3883309185;0.4991784402;-141.9621440237;23.063262255;132.7945847097;0.002372157;0.000008797;55
56;yellowsaltcube;0;0.4156000209;0.9472;-0.9854;1.5707963268;-0.5783999937;1.5707963268;SIDE;0.5056727557;-0.5947452071;-0.3672441518;0.5056727557;130.6820986268;-31.0161259619;6.8003878388;0.002891764;0.000009551;56
57;yellowsaltcube;0;0.1886000199;0.9472;-0.5373999918;1.0742000028;-0.2403999874;0.9472;SIDE;0.4991784402;0.5923182146;0.3883309185;0.4991784402;-166.3499758552;28.1362365768;132.8763776707;0.01087145;0.000039921;57
58;yellowsaltcube;0;-0.5053999902;0.9472;-0.673399995;0.9472;-0.9173999968;0.9472;SIDE;1.1420811549794557e-16;0.6680672241;-0.1487620464;0.7290788967;-229.7807538444;44.2773880673;79.3751004434;0.007992634;0.000073365;58
59;yellowsaltcube;0;0.2916000215;0.9472;-0.473399992;1.2202000064;-0.2673999887;0.9542000003;SIDE;0.5056727557;-0.5947452071;-0.3672441518;0.5056727557;154.9171278019;-36.747472843;6.2319480349;0.012941279;0.000041786;59
60;yellowsaltcube;0;0.1306000172;0.9472;-0.4893999895;1.0132000031;-0.2373999873;0.9472;SIDE;3.9362331769368115e-16;0.1330693552;0.7051303713;0.6964795088;-27.6984732597;-167.5892249661;136.522002692;0.008510362;0.000028596;60
61;yellowsaltcube;0;0.2706000205;0.9472;-0.4283999898;1.4062000088;-0.4493999908;1.3952000082;SIDE;0.5056727557;-0.5947452071;-0.3672441518;0.5056727557;149.3352295511;-29.9424838086;6.3916862475;0.015372561;0.000067578;61
62;yellowsaltcube;0;0.1306000172;0.9472;-0.4843999925;1.0452000047;-0.2223999866;0.9472;SIDE;0.6952047994;0.69978625;-0.1642847868;-2.5950804951228305e-16;28.3657953331;161.7846990737;136.8770381003;0.008838733;0.000025018;62
63;yellowsaltcube;0;0.4506000226;0.9472;-0.9854;1.5707963268;-0.2753999891;1.5707963268;SIDE;0.5119887054;0.3648175523;-0.585357399;-0.5119887054;134.9531315165;-27.205989889;126.6831785542;0.000140756;0.000014285;63
64;yellowsaltcube;0;1.0326000307;1.5707963268;-0.1073999844;1.5707963268;-0.9854;1.5707963268;SIDE;-0.4835773952;0.5586901621;0.4692239427;-0.4835773952;141.0206275198;9.6419910081;16.6408212747;0.000007039;0.000000008;64
65;yellowsaltcube;0;0.1076000193;0.9472;-0.9854;1.5707963268;0.0156000149;0.9472;SIDE;3.9362331769368115e-16;0.1330693552;0.7051303713;0.6964795088;-23.0811517176;-143.1221818276;135.7788729344;0.008966142;0.000019849;65
66;yellowsaltcube;0;0.2726000206;0.9472;-0.9854;1.5707963268;-0.0913999836;1.5062000103;SIDE;0.5173806811;-0.3544153442;0.5822578685;-0.5173806811;-136.4533772961;42.0979371757;1.0120013681;0.008495613;0.000024677;66
