"id","object","sdh_knuckle_joint","sdh_finger_12_joint","sdh_finger_13_joint","sdh_finger_22_joint","sdh_finger_23_joint","sdh_thumb_2_joint","sdh_thumb_3_joint","direction","qw","qx","qy","qz","pos-x","pos-y","pos-z","eps_l1","vol_l1"
"0","yellowsaltcube","0.0","-0.47039999183695458","0.0","-0.47739999216943918","0.0","-0.32539998820945698","0.0","SIDE","0.51930751632597838","0.54846515970254817","0.39978165986841613","-0.51930751632597827","31.92264290278079","250.46869280333129","55.032417314933028","0.000530920","0.000040155","0"
"1","yellowsaltcube","0.0","-0.34439998911190628","0.0","-0.29139998659454991","-1.311585118178278e-15","-0.79939999442510501","1.576827090622543e-15","SIDE","0.48629196059880797","0.55995092439574168","0.46205542998896704","-0.48629196059880803","15.144607944227003","213.93362767646894","49.145295434064536","0.004917966","0.000071826","1"
"2","yellowsaltcube","0.0","-0.71939999388493525","0.0","-0.73839999478738605","0.39000000874512802","-0.6023999915873649","0.49700001056772042","SIDE","0.50036834451849399","-0.42676280946611983","0.56314877613666847","0.50036834451849421","-24.790182756722736","-197.86650605962919","72.16982667376783","0.003186983","0.000089533","2"
"3","yellowsaltcube","0.0","-0.74339999502487475","0.0","-0.73739999473988771","0.33100000594277029","-0.51139999052472895","0.18500000552740131","SIDE","0.51930751632597816","0.54846515970254828","0.39978165986841624","-0.51930751632597827","24.201397001029076","201.22552272979055","58.96847661746407","0.004169393","0.000095745","3"
"4","yellowsaltcube","0.0","-0.40739998884461159","-2.0270731923286169e-16","-0.35239998949188373","0.27800000668503222","-0.80639999475758783","1.931831114074658e-16","SIDE","0.49823581145090923","-0.41012487461028868","0.57906799220955296","0.49823581145090928","-31.803455483249365","-207.44049411351418","40.547847090857793","0.002933317","0.000048571","4"
"5","yellowsaltcube","0.0","-0.48939998947978208","-2.5676590851252981e-15","-0.4733999919794486","0.0","-0.37039999034684201","-1.396535503009857e-15","SIDE","0.72483684925395109","0.13770924713543917","0.67501681846972927","-7.6584339342561694e-17","-240.58020097882471","42.762518561582084","61.400542166219374","0.001798742","0.000057125","5"
"6","yellowsaltcube","0.0","-0.48339999245442561","0.0","-0.46439999155197548","-7.5223967977218292e-16","-0.41739998931958688","-3.4653617126508189e-16","SIDE","-2.7447121483270659e-16","0.70786668623091809","-0.16800983163045141","-0.68607393989275423","230.07199131791319","-49.457368345696359","84.850057249138302","0.005419184","0.000041086","6"
"7","yellowsaltcube","0.0","-0.3803999908218158","0.0","-0.33339998858943198","0.18300000543241099","-0.81039999494758319","0.0","SIDE","-1.7614265846294195e-16","0.70908484838502306","-0.1172328648761264","-0.69530937947342886","200.41447136909517","-29.524044533578262","45.191404130143113","0.004251143","0.000045856","7"
"8","yellowsaltcube","3.3306690738754701e-16","-0.93639999767262483","0.94719999999999915","-0.91039999643769709","0.94719999999999938","-0.72339999407493416","0.94719999999999938","SIDE","0.51930751632597849","0.54846515970254828","0.39978165986841618","-0.51930751632597827","24.201397001029079","201.22552272979058","58.96847661746407","0.007472767","0.000055273","8"
"9","yellowsaltcube","0.0","-0.42739998979456761","-1.340157741654466e-16","-0.36539999010935548","0.28400000697002131","-0.80839999485257963","0.0","SIDE","0.71784467859892542","0.12154815830810717","0.68551080415928733","0.0","-199.84468230409334","29.965561620142189","33.958825863510626","0.002353776","0.000039179","9"
"10","yellowsaltcube","0.0","-0.76939999625980793","-1.076071249375712e-15","-0.73539999464489358","0.33000000589526901","-0.58739999087491335","0.40500000619795351","SIDE","0.72483684925395109","0.13770924713543917","0.67501681846972927","-7.6584339342561694e-17","-191.65249458952172","32.780844880903715","63.939387969858871","0.004651032","0.000146601","10"
"11","yellowsaltcube","0.0","-0.88739999534526004","0.94719999999998439","-0.89239999558273764","0.94719999999999949","-0.74639999516736677","0.94719999999999827","SIDE","0.50036834451849399","-0.42676280946611983","0.56314877613666847","0.50036834451849421","-24.790182756722736","-197.86650605962919","72.169826673767815","0.008981506","0.000060448","11"
"12","yellowsaltcube","0.0","-0.43139998998455942","0.0","-0.4783999922169368","0.0","-0.38339999096430871","2.1771580607439979e-16","SIDE","0.50036834451849366","-0.42676280946611994","0.56314877613666847","0.50036834451849432","-31.614504792572433","-247.3985481904042","72.09613063453213","0.010723262","0.000071181","12"
"13","yellowsaltcube","0.0","-0.76839999621231059","-4.1859503230188078e-16","-0.72539999416991918","0.39100000879263053","-0.64639999367725487","0.54600000963546447","SIDE","-2.9407630160647137e-16","0.70786668623091809","-0.16800983163045141","-0.68607393989275423","181.50710268378623","-37.930651632954174","81.919802349134869","0.005583723","0.000084846","13"
"14","yellowsaltcube","0.0","-0.76639999611731902","0.94719999999999549","-0.80639999475758362","0.94719999999999971","-0.71939999388493403","0.94719999999999938","SIDE","0.50036834451849366","-0.42676280946612005","0.56314877613666847","0.50036834451849421","-31.614504792572433","-247.39854819040426","72.09613063453213","0.001957149","0.000058542","14"
"15","yellowsaltcube","0.0","-0.93739999772012716","0.94719999999999938","-0.87339999793991474","0.94719999999999949","-0.77739999663978887","0.94719999999999949","SIDE","-2.7447121483270659e-16","0.70786668623091809","-0.16800983163045141","-0.68607393989275423","181.70136225044422","-37.976758502682117","81.931523369466291","0.007418463","0.000046474","15"
"16","yellowsaltcube","0.0","-0.97439999947752776","0.94719999999999938","-0.90039999596270692","0.94719999999999949","-0.74839999526236645","0.94720000000000026","SIDE","0.72483684925395109","0.13770924713543919","0.67501681846972927","-9.573042417820212e-17","-191.75035000840657","32.800808229510594","63.934310277934713","0.006689302","0.000043197","16"
"17","yellowsaltcube","0.0","-0.26539998861923891","0.0","-0.1503999864166618","-6.05043511770579e-16","-0.02539998373910804","6.6022428612922138e-16","TOP","0.012932102864824796","0.25325595760402148","0.96731286596093802","2.824514767462839e-17","-6.9779848951871939","0.71966852146942983","336.9020029062936","0.007367052","0.000009986","17"
"18","yellowsaltcube","0.0","-0.25039998790677598","-2.3027059827224121e-15","-0.17039998736660941","0.0","-0.018399983406626141","-5.5956812534552806e-16","SIDE","0.99926386359268504","-0.010576421001671967","-0.036876418435296453","-2.3598769164709684e-16","12.012590642318079","-4.6069068311145314","-192.08311769021532","0.008716221","0.000010587","18"
"19","yellowsaltcube","0.0","-0.23139998700432859","-1.211361094653062e-16","-0.11239998461176071","-7.700258834057101e-16","-0.062399985496515049","0.0","TOP","-2.7348476319878279e-17","0.96731286596093802","-0.25325595760402142","0.012932102864824329","-6.9304492121817773","0.70722301873282778","335.00263829705614","0.006264995","0.000005256","19"
"20","yellowsaltcube","0.0","-0.27639998914170899","-5.609713223825112e-15","-0.20339998567440179","-1.556912064847618e-15","-0.1163999848017499","-1.418614928210097e-15","TOP","0.0091443776307195621","-0.50491448205227696","0.86307249204766945","-0.0091443776307193331","-6.7903440493610745","0.6705415391166093","329.40451135358597","0.006914196","0.000007949","20"
"21","yellowsaltcube","0.0","-0.18039998784158731","9.8467510264674307e-16","-0.2053999857694003","0.0","-0.1153999847542518","5.2682775887776809e-16","TOP","0.0091443776307194302","0.86307249204766978","0.50491448205227663","0.0091443776307192949","-6.7928459274126949","0.67119656557701468","329.50447791196626","0.007170734","0.000007348","21"
"22","yellowsaltcube","0.0","-0.21139998605437571","0.0","-0.12639998527672131","0.0","-0.065399985639006508","0.0","SIDE","1.664933852103311e-16","-0.036876418435296175","0.010576421001671917","0.99926386359268504","11.688317025304761","-4.513902834556661","-187.69606864854183","0.007761937","0.000010087","22"
"23","yellowsaltcube","0.0","-0.13339998560919211","0.0","-0.22239998657684071","-3.6952964296801281e-16","-0.1073999843742707","2.6800783014161442e-16","SIDE","0.70658625414105669","-0.033554224552436632","-0.018596906530504664","0.70658625414105702","11.710426590101797","-4.5202440161419837","-187.99518562865566","0.002196122","0.000011597","23"
"24","yellowsaltcube","0.0","-0.54339999204464584","0.0","-0.72839999431241087","0.37700000812764661","-0.65039999386724634","0.56400001049041737","SIDE","7.6584339342561706e-17","0.6750168184697295","-0.13770924713543903","0.72483684925395087","-186.85757938314373","31.802640864232018","64.188194857587533","0.008401489","0.000090526","24"
"25","yellowsaltcube","0.0","-0.47939999226443519","0.0","-0.7373999947398937","0.33500000613275821","-0.59539999125489451","0.39300000888761849","SIDE","0.68607393989275378","-0.16800983163045136","-0.70786668623091831","-8.0911324572297922e-17","186.07220218364586","-39.014162996417362","82.19524630781838","0.008895155","0.000090156","25"
"26","yellowsaltcube","0.0","-0.57239999342206971","0.94719999999999938","-0.87839999817740178","0.94719999999999938","-0.77839999668728532","0.94719999999999971","SIDE","5.7438254506921292e-17","0.67501681846972972","-0.13770924713543903","0.72483684925395075","-186.85757938314373","31.802640864232011","64.188194857587533","0.004977598","0.000040606","26"
"27","yellowsaltcube","0.0","-0.54039999190215071","0.94719999999999827","-0.50239999009724923","0.94719999999999949","-0.40739998884462331","0.94719999999999938","SIDE","0.70658625414105658","0.018596906530504335","-0.033554224552436847","-0.70658625414105714","11.644097895714411","-4.5012204713911208","-187.09783468831318","0.007574942","0.000018237","27"
"28","yellowsaltcube","0.0","-0.31139998754450082","0.94719999999999194","-0.53639999171216879","1.0642000022975711","-0.2413999874793053","0.94720000000000448","SIDE","0.50427520688141458","0.59302534270302687","0.37381007792911397","0.50427520688141492","-166.14996988136932","30.67987604747313","119.98909541259061","0.010553453","0.000031251","28"
"29","yellowsaltcube","0.0","-0.39339998817965122","0.94719999999999793","-0.48039999231193198","0.96720000094994862","-0.2323999870518233","0.94719999999999949","SIDE","2.9679436256196551e-16","0.15281236199167827","0.69621036110935375","0.70138399975085519","-31.841843823353642","-167.66807578743561","124.64519758373592","0.009041786","0.000032768","29"
"30","yellowsaltcube","0.0","-0.31139998754449771","-1.076071249375712e-15","-0.53639999171216957","1.065000017988488","-0.10739998437425741","0.49700001056773607","SIDE","0.50427520688141458","0.59302534270302698","0.37381007792911392","0.50427520688141492","-166.14996988136929","30.67987604747313","119.98909541259061","0.013730108","0.000059610","30"
"31","yellowsaltcube","3.3306690738754701e-16","-0.38839998794216268","0.94719999999999527","-0.51339999061972086","0.94719999999999938","-0.42039998946208251","0.94719999999999971","SIDE","0.70658625414105669","-0.033554224552436639","-0.018596906530504668","0.70658625414105702","11.710426590101799","-4.5202440161419837","-187.99518562865569","0.007988393","0.000011492","31"
"32","yellowsaltcube","0.0","-0.43539999017454423","0.94719999999999915","-0.49539998976476518","1.0972000038649901","-0.22539998671934031","0.94719999999999949","SIDE","0.70099145768810323","0.69970531138485226","-0.13792553595377158","-1.3858159552341415e-16","23.524393532980746","162.37666016719632","124.70285285274383","0.009186618","0.000031009","32"
"33","yellowsaltcube","0.0","-0.54539999213964174","0.94719999999999849","-0.45439999107699991","0.94719999999999949","-0.35339998953938351","0.94719999999999915","TOP","0.012932102864824794","0.25325595760402153","0.96731286596093802","2.7348476319878282e-17","-6.9779848951871939","0.71966852146942972","336.9020029062936","0.006233226","0.000006315","33"
"34","yellowsaltcube","0.0","0.16460001876614949","0.0","-0.056399985211525783","0.0","-0.34939998934939359","0.0","SIDE","-0.49567581328510046","-0.39723828874077288","0.59229445228417488","-0.49567581328510069","43.576784365300767","264.10375714249045","126.48876933783893","0.000000543","0.000016753","34"
"35","yellowsaltcube","0.0","-0.54139999194964983","0.94719999999999827","-0.47939999226443342","0.94719999999999949","-0.34139998896941548","0.94719999999999949","SIDE","0.99926386359268504","-0.010576421001671967","-0.036876418435296453","-2.3598769164709684e-16","12.012590642318079","-4.6069068311145314","-192.08311769021535","0.009432807","0.000015880","35"
"36","yellowsaltcube","0.0","-0.34139998896941248","0.0","-0.48039999231193259","0.96700001659337553","0.044600016326083222","0.0","SIDE","2.7700807172450116e-16","0.15281236199167825","0.69621036110935364","0.70138399975085508","-31.841843823353642","-167.66807578743561","124.64519758373594","0.009666173","0.000033384","36"
"37","yellowsaltcube","3.8448519541767191e-16","-0.47739999216943951","0.94719999999999949","-0.49639998981225242","0.94719999999999949","-0.42339998960457331","0.94719999999999938","TOP","0.0091443776307195621","-0.50491448205227696","0.86307249204766945","-0.0091443776307193348","-6.7903440493610745","0.6705415391166093","329.40451135358597","0.008130143","0.000014814","37"
"38","yellowsaltcube","0.0","-0.089399983519323087","-1.1545758723099e-15","-0.27039998885672673","-9.9756662644152258e-16","-0.046399984736555502","2.12809267141013e-16","SIDE","0.50427520688141458","0.59302534270302687","0.37381007792911386","0.50427520688141492","-214.90508305732422","41.734358347016219","119.13039855753161","0.008609024","0.000008260","38"
"39","yellowsaltcube","0.0","-0.51739999080971333","0.94719999999999815","-0.42139998950958291","0.94719999999999938","-0.38239999091681098","0.94720000000000026","TOP","-2.6900140642503227e-17","0.96731286596093802","-0.25325595760402142","0.012932102864824329","-6.9304492121817765","0.70722301873282767","335.00263829705614","0.008031976","0.000015498","39"
"40","yellowsaltcube","0.0","-0.4443999906020249","0.94719999999999915","-0.53739999175965802","1.0962000038174979","-0.24339998757429179","0.94720000000000149","SIDE","-0.47276149207695267","-0.39080855135529247","0.63266248458868191","0.47276149207695312","156.82332458016913","-32.735908594640151","137.33692459488501","0.009136620","0.000045245","40"
"41","yellowsaltcube","0.0","0.1726000191461266","-1.1938281837769941e-15","-0.30739998735449742","9.3806298277956871e-16","-0.071399985923991716","0.0","SIDE","-0.49823581145090889","0.57906799220955296","0.41012487461028907","0.49823581145090889","-42.139962734061513","-267.96263544506814","40.980367405309636","0.000059027","0.000017796","41"
"42","yellowsaltcube","0.0","-0.41439998917709281","-5.265388888363904e-16","-0.53739999175964559","1.096000019460929","-0.13039998546671841","0.54400000954047134","SIDE","-0.47276149207695273","-0.39080855135529247","0.63266248458868191","0.47276149207695312","156.82332458016913","-32.735908594640151","137.33692459488503","0.015898832","0.000066395","42"
"43","yellowsaltcube","0.0","-0.19939998548441801","-9.7794047070797583e-16","-0.46739999169446739","-1.536419298989937e-16","-0.41439998917709142","-2.680315483308932e-16","SIDE","7.6584339342561731e-17","0.67501681846972972","-0.13770924713543903","0.72483684925395075","-235.78528577244674","41.7843145449106","61.649349053948029","0.003754113","0.000049514","43"
