id,object,sdh_knuckle_joint,sdh_finger_12_joint,sdh_finger_13_joint,sdh_finger_22_joint,sdh_finger_23_joint,sdh_thumb_2_joint,sdh_thumb_3_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
24,yellowsaltcube,0,-0.4353999902,0.9472,-0.4953999898,1.0972000039,-0.2253999867,0.9472,SIDE,0.7009914577,0.6997053114,-0.137925536,-1.3858159552341413e-16,23.524393533,162.3766601672,124.7028528527,0.009186618,0.000031009,24
25,yellowsaltcube,0,-0.5453999921,0.9472,-0.4543999911,0.9472,-0.3533999895,0.9472,TOP,0.0129321029,0.2532559576,0.967312866,2.7796811997253334e-17,-6.9779848952,0.7196685215,336.9020029063,0.006233226,0.000006315,25
26,yellowsaltcube,2.7367973338965351e-16,-0.4773999922,0.9472,-0.4963999898,0.9472,-0.4233999896,0.9472,TOP,0.0091443776,-0.5049144821,0.863072492,-0.0091443776,-6.7903440494,0.6705415391,329.4045113536,0.008130143,0.000014814,26
27,yellowsaltcube,0,-0.5173999908,0.9472,-0.4213999895,0.9472,-0.3823999909,0.9472,TOP,-2.6900140642503227e-17,0.967312866,-0.2532559576,0.0129321029,-6.9304492122,0.7072230187,335.0026382971,0.008031976,0.000015498,27
28,yellowsaltcube,0,-0.4443999906,0.9472,-0.5373999918,1.0962000038,-0.2433999876,0.9472,SIDE,-0.4727614921,-0.3908085514,0.6326624846,0.4727614921,156.8233245802,-32.7359085946,137.3369245949,0.00913662,0.000045245,28
29,yellowsaltcube,0,-0.4143999892,0.47,-0.5373999918,1.0960000102,-0.1303999855,0.5440000035,SIDE,-0.4727614921,-0.3908085514,0.6326624846,0.4727614921,156.8233245802,-32.7359085946,137.3369245949,0.015780894,0.000064854,29
30,yellowsaltcube,0,-0.3973999884,0.9472,-0.5583999928,0.9472,-0.3713999904,0.9472,SIDE,0.5042752069,0.5930253427,0.3738100779,0.5042752069,-214.9050830573,41.734358347,119.1303985575,0.006458774,0.000008021,30
31,yellowsaltcube,0,-0.2173999863,0.47,-0.3853999878,0.47,-0.1913999851,0.47,SIDE,0.5042752069,0.5930253427,0.3738100779,0.5042752069,-214.9050830573,41.734358347,119.1303985575,0.006563275,0.000007498,31
32,yellowsaltcube,0,-0.3503999894,0.47,-0.631399993,0.47,-0.5673999932,0.47,SIDE,7.6584339342561731e-17,0.6750168185,-0.1377092471,0.7248368493,-235.7852857724,41.7843145449,61.6493490539,0.005073622,0.00004694,32
33,yellowsaltcube,0,-0.3443999891,0.47,-0.6403999934,0.47,-0.5383999918,0.47,SIDE,0.6860739399,-0.1680098316,-0.7078666862,-1.0113915571537241e-16,234.6370908178,-50.5408797092,85.1255012078,0.008326294,0.000091361,33
34,yellowsaltcube,0,-0.5183999909,0.9472,-0.5473999922,0.9472,-0.3813999909,0.9472,SIDE,-0.4727614921,-0.3908085514,0.6326624846,0.4727614921,205.2090939852,-44.1698312287,142.6362389167,0.006018622,0.000010139,34
35,yellowsaltcube,0,-0.3363999887,0.47,-0.3733999905,0.47,-0.2033999857,0.47,SIDE,-0.4727614921,-0.3908085514,0.6326624846,0.4727614921,205.2090939852,-44.1698312287,142.6362389167,0.004096945,0.000008476,35
36,yellowsaltcube,0,-0.4383999903,0.9642000008,-0.3773999907,0.9472,-0.3083999874,0.9472,SIDE,1.5117174403636026e-16,-0.105135111,-0.6705117564,0.7344117326,18.4413474002,164.4901168468,61.9047769377,0.004383687,0.000039039,36
37,yellowsaltcube,0,-0.5543999926,1.0302000039,-0.389399988,0.9472,-0.3763999906,0.9472,SIDE,0.5125370514,-0.3799338273,0.5746841122,-0.5125370514,-168.5586166897,28.0694948049,65.1377232143,0.012796891,0.000079078,37
38,yellowsaltcube,0,-0.2473999878,0.47,-0.3403999889,0.47,-0.120399985,0.47,SIDE,2.7700807172450116e-16,0.152812362,0.6962103611,0.7013839998,-42.5598583899,-216.4991565617,125.4512460731,0.006464299,0.00000519,38
39,yellowsaltcube,0,-0.2043999857,0.47,-0.3233999881,0.47,-0.2443999876,0.47,TOP,0.0091443776,0.863072492,0.5049144821,0.0091443776,-6.7928459274,0.6711965656,329.504477912,0.007242627,0.00000758,39
40,yellowsaltcube,0,-0.5053999902,0.9472,-0.901399996,0.9472,-0.7563999956,0.9472,SIDE,0.6860739399,-0.1680098316,-0.7078666862,-1.0113915571537242e-16,186.0722021836,-39.0141629964,82.1952463078,0.006926749,0.000044863,40
41,yellowsaltcube,0,-0.4283999898,0.9472,-0.5153999907,0.9472,-0.3013999871,0.9472,SIDE,2.5722178088703681e-16,0.152812362,0.6962103611,0.7013839998,-42.5598583899,-216.4991565617,125.4512460731,0.006320481,0.000005196,41
42,yellowsaltcube,0,-0.4383999903,0.9640000104,-0.2223999866,0.47,-0.1943999852,0.6270000042,SIDE,1.7006821204090528e-16,-0.105135111,-0.6705117564,0.7344117326,18.4413474002,164.4901168468,61.9047769377,0.011851763,0.000091812,42
43,yellowsaltcube,0,-0.5543999926,1.0300000103,-0.3183999879,0.7310000059,-0.2973999869,0.7150000051,SIDE,0.5125370514,-0.3799338273,0.5746841122,-0.5125370514,-168.5586166897,28.0694948049,65.1377232143,0.021109535,0.000124727,43
44,yellowsaltcube,0,-0.6823999954,0.9472,-0.5353999917,0.9472,-0.3153999877,0.9472,SIDE,-0.4851275353,-0.3817364428,0.6193382253,0.4851275353,172.3769033675,-35.7636288309,81.3689144127,0.008689989,0.000021498,44
45,yellowsaltcube,0,-0.589399991,1.0602000021,-0.4443999906,0.9472,-0.2853999863,0.9472,SIDE,4.1184586806855595e-16,0.0964394419,0.699973195,0.707627699,-21.5281567535,-174.1901894125,72.2050533813,0.008175077,0.000070992,45
46,yellowsaltcube,0,-0.589399991,1.0600000117,-0.4143999892,0.8690000092,-0.1193999849,0.47,SIDE,3.9223416006529136e-16,0.0964394419,0.699973195,0.707627699,-21.5281567535,-174.1901894125,72.2050533813,0.012724969,0.00007849,46
47,yellowsaltcube,0,-0.2883999865,0.47,-0.321399988,0.47,-0.1403999859,0.47,SIDE,0.7009914577,0.6997053114,-0.137925536,-1.1878422473435497e-16,33.192855783,211.4254047852,125.5639504776,0.005781317,0.000008166,47
48,yellowsaltcube,0,-0.652399994,0.9472,-0.5143999907,0.9472,-0.2893999865,0.9472,SIDE,0.5125370514,0.5746841122,0.3799338273,0.5125370514,-172.570688545,28.8879920327,64.929537862,0.007704658,0.000045145,48
49,yellowsaltcube,0,-0.5753999936,1.0690000122,-0.3333999886,0.9090000078,-0.3463999892,0.9020000075,SIDE,-0.4851275353,0.6193382253,0.3817364428,-0.4851275353,160.7213296846,-32.9972167224,80.6656532119,0.021530698,0.000164065,49
50,yellowsaltcube,0,-0.5753999936,1.0692000025,-0.3463999892,0.9472,-0.36239999,0.9472,SIDE,-0.4851275353,0.6193382253,0.3817364428,-0.4851275353,160.7213296846,-32.9972167224,80.6656532119,0.009473068,0.000066389,50
51,yellowsaltcube,0,-0.4643999916,0.9472,-0.3593999898,0.9472,-0.2863999864,0.9472,SIDE,0.707627699,-0.699973195,0.0964394419,1.9611708003264572e-17,-20.1905895955,-164.481908872,72.2194978054,0.007966496,0.000034992,51
52,yellowsaltcube,0,-0.6603999943,0.891000007,-0.4373999903,0.6780000034,-0.1533999866,0.47,SIDE,-0.4851275353,-0.3817364428,0.6193382253,0.4851275353,172.3769033675,-35.7636288309,81.3689144127,0.015904156,0.000082863,52
53,yellowsaltcube,0,-0.4693999918,0.9472,-0.4953999898,0.9472,-0.321399988,0.9472,SIDE,0.7009914577,0.6997053114,-0.137925536,-1.5837896631247328e-16,33.192855783,211.4254047852,125.5639504776,0.005376289,0.000006447,53
54,yellowsaltcube,0,-0.4593999913,0.933000009,-0.2163999863,0.47,-0.2183999864,0.7620000074,SIDE,0.707627699,-0.699973195,0.0964394419,1.9611708003264569e-17,-20.1905895955,-164.481908872,72.2194978054,0.019892852,0.000180911,54
55,yellowsaltcube,0,-0.384399991,0.9472,-0.50039999,0.9472,-0.4223999896,0.9472,TOP,0.0091443776,0.863072492,0.5049144821,0.0091443776,-6.7928459274,0.6711965656,329.504477912,0.00802693,0.000008507,55
56,yellowsaltcube,0,-0.6443999936,0.9260000086,-0.4693999918,0.8290000073,-0.1433999861,0.47,SIDE,0.5125370514,0.5746841122,0.3799338273,0.5125370514,-172.570688545,28.8879920327,64.929537862,0.018209673,0.000138888,56
57,yellowsaltcube,0,-0.3733999905,0.9472,-0.8953999957,0.9472,-0.7523999955,0.9472,SIDE,0.5003683445,-0.5631487761,-0.4267628095,-0.5003683445,-24.4626153231,-195.4889682119,72.1733640834,0.003277176,0.000049724,57
58,yellowsaltcube,0,-0.5733999935,1.0290000103,-0.4763999921,1.0180000097,-0.0913999836,0.47,SIDE,0.7344117326,0.6705117564,-0.105135111,-9.4482340022725179e-17,19.1517020172,169.0204884552,61.542659485,0.018091667,0.000107464,58
59,yellowsaltcube,0,-0.5733999935,1.0292000039,-0.4763999921,1.0182000034,-0.252399988,0.9472,SIDE,0.7344117326,0.6705117564,-0.105135111,-9.4482340022725179e-17,19.1517020172,169.0204884552,61.542659485,0.018682608,0.000144024,59
60,yellowsaltcube,0,-0.231399987,0.47,-0.7513999954,0.47,-0.653399994,0.601000003,SIDE,0.5193075163,0.3997816599,-0.5484651597,0.5193075163,22.4872803542,190.2935386124,59.8422818115,0.008078336,0.000074325,60
61,yellowsaltcube,3.8857805861880479e-16,-0.5823999939,1.0480000112,-0.3653999901,1.0050000091,-0.3393999889,0.95600001,SIDE,-0.4727614921,0.6326624846,0.3908085514,-0.4727614921,157.3071823044,-32.8502478281,137.3899177414,0.020465294,0.000217273,61
62,yellowsaltcube,0,-0.5823999939,1.0482000015,-0.3653999901,1.0052000028,-0.3393999889,0.9562000004,SIDE,-0.4727614921,0.6326624846,0.3908085514,-0.4727614921,157.3071823044,-32.8502478281,137.3899177414,0.02019196,0.000219433,62
63,yellowsaltcube,0,-0.563399993,1.0310000103,-0.3153999877,0.7970000058,-0.3223999881,0.7890000054,SIDE,0.5042752069,-0.3738100779,0.5930253427,-0.5042752069,-168.1976847625,31.144164333,119.9530301424,0.020973075,0.000167048,63
64,yellowsaltcube,0,-0.563399993,1.0302000039,-0.3653999901,0.9472,-0.3773999907,0.9472,SIDE,0.5042752069,-0.3738100779,0.5930253427,-0.5042752069,-168.1976847625,31.144164333,119.9530301424,0.012465314,0.00010359,64
65,yellowsaltcube,0,-0.5123999906,0.47,-0.3823999909,0.47,-0.2033999857,0.47,SIDE,-0.4851275353,-0.3817364428,0.6193382253,0.4851275353,220.9417920016,-47.2903455436,84.2991693127,0.010044858,0.000033446,65
66,yellowsaltcube,0,-0.4713999919,0.9532000003,-0.3163999878,0.9472,-0.36239999,0.9472,SIDE,0.7013839998,-0.6962103611,0.152812362,1.1871774502478618e-16,-31.370251153,-165.5195080993,124.609731448,0.010047524,0.000059873,66
67,yellowsaltcube,0,-0.4713999919,0.9530000099,-0.1593999868,0.47,-0.2613999884,0.665000006,SIDE,0.7013839998,-0.6962103611,0.152812362,1.1871774502478618e-16,-31.370251153,-165.5195080993,124.609731448,0.012953738,0.000167945,67
68,yellowsaltcube,0,-0.4853999893,1.0180000097,-0.2443999876,0.6870000038,-0.209399986,0.6940000041,SIDE,-5.9392112367177484e-17,-0.137925536,-0.6997053114,0.7009914577,23.3696981273,161.5918802043,124.6890752899,0.017786905,0.000171067,68
69,yellowsaltcube,0,-0.4853999893,1.0182000034,-0.3333999886,0.9472,-0.2973999869,0.9472,SIDE,-3.9594741578118321e-17,-0.137925536,-0.6997053114,0.7009914577,23.3696981273,161.5918802043,124.6890752899,0.008461363,0.000070598,69
70,yellowsaltcube,0,-0.410399989,0.47,-0.2943999867,0.47,-0.2843999895,0.47,SIDE,0.5125370514,-0.3799338273,0.5746841122,-0.5125370514,-217.486323079,38.0511684855,62.5988774107,0.007765055,0.000013617,70
71,yellowsaltcube,0,-0.5833999939,0.9472,-0.4713999919,0.9472,-0.4613999914,0.9472,SIDE,0.5125370514,-0.3799338273,0.5746841122,-0.5125370514,-217.486323079,38.0511684855,62.5988774107,0.008847348,0.000017964,71
72,yellowsaltcube,0,-0.6823999954,0.9472,-0.5583999928,0.9472,-0.383399991,0.9472,SIDE,-0.4851275353,-0.3817364428,0.6193382253,0.4851275353,220.9417920016,-47.2903455436,84.2991693127,0.009812935,0.00002969,72
73,yellowsaltcube,2.2204460492503131e-16,-0.5933999912,0.9472,-0.4663999916,0.9472,-0.4683999917,0.9472,SIDE,-0.4851275353,0.6193382253,0.3817364428,-0.4851275353,209.2862183187,-44.5239334351,83.5959081119,0.010122329,0.000022551,73
74,yellowsaltcube,0,-0.4193999894,0.47,-0.2913999866,0.47,-0.2933999867,0.47,SIDE,-0.4851275353,0.6193382253,0.3817364428,-0.4851275353,209.2862183187,-44.5239334351,83.5959081119,0.010012608,0.000022379,74
75,yellowsaltcube,0,-0.6633999945,0.9472,-0.563399993,0.9472,-0.3823999909,0.9472,SIDE,0.5125370514,0.5746841122,0.3799338273,0.5125370514,-221.4983949343,38.8696657134,62.3906920583,0.008907261,0.000017265,75
76,yellowsaltcube,0,-0.4943999897,0.47,-0.3873999879,0.47,-0.2013999856,0.47,SIDE,0.5125370514,0.5746841122,0.3799338273,0.5125370514,-221.4983949343,38.8696657134,62.3906920583,0.010349576,0.000021961,76
77,yellowsaltcube,0,-0.3553999896,0.9472,-0.8833999984,0.9472,-0.7783999967,0.9472,SIDE,0.5193075163,0.3997816599,-0.5484651597,0.5193075163,22.4872803542,190.2935386124,59.8422818115,0.002156391,0.000047555,77
78,yellowsaltcube,0,-0.389399988,0.6840000036,-0.4873999894,0.9160000081,-0.2813999894,0.5730000016,TOP,0.0091443776,-0.5049144821,0.863072492,-0.0091443776,-5.5394051009,0.3430283296,279.421235282,0.021510924,0.000213462,78
